0
node02
0
Sat Nov 18 16:59:14 2023       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 530.30.02              Driver Version: 530.30.02    CUDA Version: 12.1     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                  Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf            Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA GeForce RTX 3090         On | 00000000:81:00.0 Off |                  N/A |
| 37%   26C    P8               18W / 350W|      1MiB / 24576MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Optimizing ./output/ilsh_00
Output folder: ./output/ilsh_00 [18/11 16:59:17]
Tensorboard not available: not logging progress [18/11 16:59:17]
Found transforms_train.json file, assuming Blender data set! [18/11 16:59:17]
Reading Training Transforms [18/11 16:59:17]
Reading Test Transforms [18/11 16:59:37]
Generating random point cloud (100000)... [18/11 16:59:39]
Loading Training Cameras [18/11 16:59:39]
[ INFO ] Encountered quite large input images (>1.6K pixels width), rescaling to 1.6K.
 If this is not desired, please explicitly specify '--resolution/-r' as 1 [18/11 16:59:39]
Loading Test Cameras [18/11 16:59:45]
Number of points at initialisation :  100000 [18/11 16:59:45]

Training progress:   0%|          | 0/30000 [00:00<?, ?it/s]
Training progress:   0%|          | 0/30000 [00:03<?, ?it/s, Loss=0.3367321]
Training progress:   0%|          | 10/30000 [00:03<2:43:38,  3.05it/s, Loss=0.3367321]
Training progress:   0%|          | 10/30000 [00:05<2:43:38,  3.05it/s, Loss=0.3214109]
Training progress:   0%|          | 20/30000 [00:05<2:23:44,  3.48it/s, Loss=0.3214109]
Training progress:   0%|          | 20/30000 [00:08<2:23:44,  3.48it/s, Loss=0.3191345]
Training progress:   0%|          | 30/30000 [00:08<2:20:24,  3.56it/s, Loss=0.3191345]
Training progress:   0%|          | 30/30000 [00:11<2:20:24,  3.56it/s, Loss=0.3234646]
Training progress:   0%|          | 40/30000 [00:11<2:19:31,  3.58it/s, Loss=0.3234646]
Training progress:   0%|          | 40/30000 [00:14<2:19:31,  3.58it/s, Loss=0.3212988]
Training progress:   0%|          | 50/30000 [00:14<2:18:10,  3.61it/s, Loss=0.3212988]
Training progress:   0%|          | 50/30000 [00:16<2:18:10,  3.61it/s, Loss=0.3323649]
Training progress:   0%|          | 60/30000 [00:16<2:13:44,  3.73it/s, Loss=0.3323649]
Training progress:   0%|          | 60/30000 [00:18<2:13:44,  3.73it/s, Loss=0.3090505]
Training progress:   0%|          | 70/30000 [00:18<2:06:45,  3.94it/s, Loss=0.3090505]
Training progress:   0%|          | 70/30000 [00:20<2:06:45,  3.94it/s, Loss=0.2959318]
Training progress:   0%|          | 80/30000 [00:20<1:58:10,  4.22it/s, Loss=0.2959318]
Training progress:   0%|          | 80/30000 [00:22<1:58:10,  4.22it/s, Loss=0.3111899]
Training progress:   0%|          | 90/30000 [00:22<1:49:43,  4.54it/s, Loss=0.3111899]
Training progress:   0%|          | 90/30000 [00:24<1:49:43,  4.54it/s, Loss=0.2927645]
Training progress:   0%|          | 100/30000 [00:24<1:42:38,  4.85it/s, Loss=0.2927645]
Training progress:   0%|          | 100/30000 [00:26<1:42:38,  4.85it/s, Loss=0.2632545]
Training progress:   0%|          | 110/30000 [00:26<1:36:56,  5.14it/s, Loss=0.2632545]
Training progress:   0%|          | 110/30000 [00:27<1:36:56,  5.14it/s, Loss=0.2596631]
Training progress:   0%|          | 120/30000 [00:27<1:31:06,  5.47it/s, Loss=0.2596631]
Training progress:   0%|          | 120/30000 [00:29<1:31:06,  5.47it/s, Loss=0.2444033]
Training progress:   0%|          | 130/30000 [00:29<1:24:51,  5.87it/s, Loss=0.2444033]
Training progress:   0%|          | 130/30000 [00:30<1:24:51,  5.87it/s, Loss=0.2251878]
Training progress:   0%|          | 140/30000 [00:30<1:18:30,  6.34it/s, Loss=0.2251878]
Training progress:   0%|          | 140/30000 [00:31<1:18:30,  6.34it/s, Loss=0.1846127]
Training progress:   0%|          | 150/30000 [00:31<1:10:48,  7.03it/s, Loss=0.1846127]
Training progress:   0%|          | 150/30000 [00:32<1:10:48,  7.03it/s, Loss=0.1702200]
Training progress:   1%|          | 160/30000 [00:32<1:04:41,  7.69it/s, Loss=0.1702200]
Training progress:   1%|          | 160/30000 [00:33<1:04:41,  7.69it/s, Loss=0.1629545]
Training progress:   1%|          | 170/30000 [00:33<58:29,  8.50it/s, Loss=0.1629545]  
Training progress:   1%|          | 170/30000 [00:34<58:29,  8.50it/s, Loss=0.1186994]
Training progress:   1%|          | 180/30000 [00:34<53:26,  9.30it/s, Loss=0.1186994]
Training progress:   1%|          | 180/30000 [00:35<53:26,  9.30it/s, Loss=0.1242649]
Training progress:   1%|          | 190/30000 [00:35<49:48,  9.97it/s, Loss=0.1242649]
Training progress:   1%|          | 190/30000 [00:35<49:48,  9.97it/s, Loss=0.1208220]
Training progress:   1%|          | 200/30000 [00:35<46:33, 10.67it/s, Loss=0.1208220]
Training progress:   1%|          | 200/30000 [00:36<46:33, 10.67it/s, Loss=0.1035739]
Training progress:   1%|          | 210/30000 [00:36<44:33, 11.14it/s, Loss=0.1035739]
Training progress:   1%|          | 210/30000 [00:37<44:33, 11.14it/s, Loss=0.1274531]
Training progress:   1%|          | 220/30000 [00:37<42:39, 11.63it/s, Loss=0.1274531]
Training progress:   1%|          | 220/30000 [00:38<42:39, 11.63it/s, Loss=0.0961009]
Training progress:   1%|          | 230/30000 [00:38<40:57, 12.11it/s, Loss=0.0961009]
Training progress:   1%|          | 230/30000 [00:38<40:57, 12.11it/s, Loss=0.1134791]
Training progress:   1%|          | 240/30000 [00:38<40:14, 12.33it/s, Loss=0.1134791]
Training progress:   1%|          | 240/30000 [00:39<40:14, 12.33it/s, Loss=0.0952105]
Training progress:   1%|          | 250/30000 [00:39<39:23, 12.59it/s, Loss=0.0952105]
Training progress:   1%|          | 250/30000 [00:40<39:23, 12.59it/s, Loss=0.1012738]
Training progress:   1%|          | 260/30000 [00:40<38:16, 12.95it/s, Loss=0.1012738]
Training progress:   1%|          | 260/30000 [00:41<38:16, 12.95it/s, Loss=0.0926301]
Training progress:   1%|          | 270/30000 [00:41<38:24, 12.90it/s, Loss=0.0926301]
Training progress:   1%|          | 270/30000 [00:41<38:24, 12.90it/s, Loss=0.1014975]
Training progress:   1%|          | 280/30000 [00:41<37:14, 13.30it/s, Loss=0.1014975]
Training progress:   1%|          | 280/30000 [00:42<37:14, 13.30it/s, Loss=0.0853930]
Training progress:   1%|          | 290/30000 [00:42<37:29, 13.21it/s, Loss=0.0853930]
Training progress:   1%|          | 290/30000 [00:43<37:29, 13.21it/s, Loss=0.0911207]
Training progress:   1%|          | 300/30000 [00:43<36:56, 13.40it/s, Loss=0.0911207]
Training progress:   1%|          | 300/30000 [00:44<36:56, 13.40it/s, Loss=0.0878560]
Training progress:   1%|          | 310/30000 [00:44<36:55, 13.40it/s, Loss=0.0878560]
Training progress:   1%|          | 310/30000 [00:44<36:55, 13.40it/s, Loss=0.0924981]
Training progress:   1%|          | 320/30000 [00:44<36:38, 13.50it/s, Loss=0.0924981]
Training progress:   1%|          | 320/30000 [00:45<36:38, 13.50it/s, Loss=0.0958751]
Training progress:   1%|          | 330/30000 [00:45<36:11, 13.67it/s, Loss=0.0958751]
Training progress:   1%|          | 330/30000 [00:46<36:11, 13.67it/s, Loss=0.1046906]
Training progress:   1%|          | 340/30000 [00:46<35:59, 13.73it/s, Loss=0.1046906]
Training progress:   1%|          | 340/30000 [00:47<35:59, 13.73it/s, Loss=0.0808971]
Training progress:   1%|          | 350/30000 [00:47<36:21, 13.59it/s, Loss=0.0808971]
Training progress:   1%|          | 350/30000 [00:47<36:21, 13.59it/s, Loss=0.0825683]
Training progress:   1%|          | 360/30000 [00:47<35:47, 13.80it/s, Loss=0.0825683]
Training progress:   1%|          | 360/30000 [00:48<35:47, 13.80it/s, Loss=0.0995662]
Training progress:   1%|          | 370/30000 [00:48<35:21, 13.96it/s, Loss=0.0995662]
Training progress:   1%|          | 370/30000 [00:49<35:21, 13.96it/s, Loss=0.0824974]
Training progress:   1%|▏         | 380/30000 [00:49<35:46, 13.80it/s, Loss=0.0824974]
Training progress:   1%|▏         | 380/30000 [00:49<35:46, 13.80it/s, Loss=0.0868174]
Training progress:   1%|▏         | 390/30000 [00:49<35:50, 13.77it/s, Loss=0.0868174]
Training progress:   1%|▏         | 390/30000 [00:50<35:50, 13.77it/s, Loss=0.0787204]
Training progress:   1%|▏         | 400/30000 [00:50<35:19, 13.96it/s, Loss=0.0787204]
Training progress:   1%|▏         | 400/30000 [00:51<35:19, 13.96it/s, Loss=0.0765296]
Training progress:   1%|▏         | 410/30000 [00:51<35:17, 13.97it/s, Loss=0.0765296]
Training progress:   1%|▏         | 410/30000 [00:51<35:17, 13.97it/s, Loss=0.0930327]
Training progress:   1%|▏         | 420/30000 [00:51<34:55, 14.12it/s, Loss=0.0930327]
Training progress:   1%|▏         | 420/30000 [00:52<34:55, 14.12it/s, Loss=0.0846077]
Training progress:   1%|▏         | 430/30000 [00:52<35:13, 13.99it/s, Loss=0.0846077]
Training progress:   1%|▏         | 430/30000 [00:53<35:13, 13.99it/s, Loss=0.0831149]
Training progress:   1%|▏         | 440/30000 [00:53<35:00, 14.07it/s, Loss=0.0831149]
Training progress:   1%|▏         | 440/30000 [00:54<35:00, 14.07it/s, Loss=0.0838712]
